transaction_no,buy/sell,date,price
145,BUY,2024-03-28 10:30:00,774110
146,SELL,2024-03-28 13:00:00,772310
147,BUY,2024-03-28 21:30:00,775520
148,SELL,2024-03-28 23:00:00,777000
149,BUY,2024-04-01 10:15:00,783830
150,SELL,2024-04-01 15:00:00,783040
151,BUY,2024-04-02 09:45:00,785130
152,SELL,2024-04-02 23:00:00,794000
153,BUY,2024-04-03 09:00:00,803600
154,SELL,2024-04-03 14:15:00,803200
155,BUY,2024-04-03 19:00:00,807500
156,SELL,2024-04-03 23:00:00,812400
profit_percent,profit
1.4,14000.0
portfolio_value,transaction_date
1000390.0,2024-01-02
portfolio_value,transaction_date
997720.0,2024-01-04
portfolio_value,transaction_date
996250.0,2024-01-05
portfolio_value,transaction_date
991220.0,2024-01-09
portfolio_value,transaction_date
989950.0,2024-01-10
portfolio_value,transaction_date
989460.0,2024-01-11
portfolio_value,transaction_date
985060.0,2024-01-11
portfolio_value,transaction_date
989500.0,2024-01-15
portfolio_value,transaction_date
987390.0,2024-01-17
portfolio_value,transaction_date
985440.0,2024-01-18
portfolio_value,transaction_date
984050.0,2024-01-19
portfolio_value,transaction_date
984720.0,2024-01-23
portfolio_value,transaction_date
987190.0,2024-01-24
portfolio_value,transaction_date
987220.0,2024-01-25
portfolio_value,transaction_date
986670.0,2024-01-29
portfolio_value,transaction_date
985500.0,2024-01-29
portfolio_value,transaction_date
985880.0,2024-01-30
portfolio_value,transaction_date
980590.0,2024-02-02
portfolio_value,transaction_date
980060.0,2024-02-06
portfolio_value,transaction_date
978730.0,2024-02-08
portfolio_value,transaction_date
977680.0,2024-02-09
portfolio_value,transaction_date
978180.0,2024-02-12
portfolio_value,transaction_date
969770.0,2024-02-13
portfolio_value,transaction_date
988180.0,2024-02-19
portfolio_value,transaction_date
988100.0,2024-02-20
portfolio_value,transaction_date
986300.0,2024-02-21
portfolio_value,transaction_date
987520.0,2024-02-22
portfolio_value,transaction_date
985390.0,2024-02-23
portfolio_value,transaction_date
985130.0,2024-02-27
portfolio_value,transaction_date
983540.0,2024-02-29
portfolio_value,transaction_date
980360.0,2024-03-01
portfolio_value,transaction_date
986640.0,2024-03-04
portfolio_value,transaction_date
997120.0,2024-03-05
portfolio_value,transaction_date
1000990.0,2024-03-08
portfolio_value,transaction_date
1011050.0,2024-03-14
portfolio_value,transaction_date
1012990.0,2024-03-18
portfolio_value,transaction_date
1008960.0,2024-03-19
portfolio_value,transaction_date
1006200.0,2024-03-19
portfolio_value,transaction_date
1004820.0,2024-03-21
portfolio_value,transaction_date
1006020.0,2024-03-22
portfolio_value,transaction_date
1005600.0,2024-03-25
portfolio_value,transaction_date
1002610.0,2024-03-26
portfolio_value,transaction_date
999940.0,2024-03-28
portfolio_value,transaction_date
1000630.0,2024-04-01
portfolio_value,transaction_date
1009100.0,2024-04-03
